"category","key","author","title","month","year","editor","medial_id","volume","publisher","edition","number","series","address","abstract"
"Roman","125","Kehlmann, Daniel","Die Vermessung der Welt","3","09","Bibo Kusti","Zba Keh","0","Rowohlt Verlag Reinbek","0","2005","","2006:286","Biografie von Alexander v. Humboldt und Carl Friedrich Gauß, mittelmäßiges Buch mit gutem Stil"
"Biografie","126","Maren Gottschalk","Jenseits von Büllerbü

Die Lebensgeschichte der Astrid Lindgren","5","09","Annegret Heusel","","0","Beltz & Gehlberg","0","2006","","",""
"Roman","127","Durst-Benning, Petra","Die Samenhändlerin","7","09","Anne Heusel","","0","Ullstein Buchverlage Berlin","3","2005","5-550-08616-4","","Gönningen um 1850, Familiengeschichte der Kerners, Hannah Helmut, Valentin  Seraphine, Gottlieb Wilhelmine"
"Roman, histor.","128","Gabl‚, Rebecca","Der König der purpurnen Stadt","9","09","wir","","0","Bastei Lübbe Taschenbuch","3","2005","","","London im Jahre 1330, Jonah Durhams Leben als Tuchhändler und Ritter von Königin Philippa (Crispin, Cecil,Annot ...)"
"Roman","129","Coelho, Paulo","Die Hexe von Portobello","11","10","Bibo Kusti","Yba Coe","0","Diogenes Zuerich","0","2007","9-78325-70660-0","2007-459","Athena oder Sherine Khalil / wird aus rumaenischem Waisenhaus von libanesi schen Eltern adoptiert und waechst in England auf / ihr Weg eine bestimmt im Mittelalter verbrannte Hexe"
"Roman","130","Gordon, Noah","Der Katalane","12","10","Bibo Kusti","Zba Gor","0","Bertelsmann ClubPremiere","0","2007","","K05113095","Josep Alvarez Leben in Ausschnitten, bei Leon Mendes im Laguedoc, wieder in der Heimat, Attentat des Jagdvereins danach Abschlachten aller Jugendlichen ..., Tod von Kommandeur Pena und Grab in Weinkellerwand, Ehe mit Maria des Mar"
"Roman, histor.","131","Follett, Ken","Die Br[cken der Freiheit","8","11","Bibo Kusti","Zba Fol","0","Bastei Luebbe","2","1998","3-404-12815-X","2010 689","aus 18. Jhr. erzaehlt die Geschichte von Malachi McAsh und Lizzie Hallim zwischen Schottland London und Kolonie Virginia Tabakplantage Mockjack Hall"
"Fach-/ Lehrbuch","132","Parsons, Rob","Erfolg auf ganzer Linie - 7 Prinzn. wie man berufl. weiter kommt ohne privat auf der Strecke zu bleiben","9","11","Opi geschenkt","","0","Gerth Medien Asslar","1","2004","3-89437-957-X","","christl. Buch, in Klinik bei Mandel-OP gelesen und dort gelassen fuer andere"
"Roman, histor.","134","Durst-Benning, Petra","Das glaeserne Paradies","9","11","Christine?","","0","Ullstein Berlin","3","2007","","","Wanda Miles im Glasblaeserdorf Lauscha bei Sonneberg / weitere David Wagner, Thomas Heimer, Friedhelm Strobel"
"Roman, histor.","135","Gable, Rebecca","Hiobs Brueder","11","11","Seba","","0","Bastei Luebbe Koeln","1","2011","","","sehr schoen erzaehlt, HF Alan oder Losian und seine behinderten Mitstreiter verlassen Insel und erkaempfen fuer Henrz den Koenigsthron"
"Christl. Buch","136","Stern, Marc","Der gest;rte Schabbat / Chassidische Geschichten","1","12","wir","","0","Guetersloher Verlagshaus","0","0000","","",""
"Roman","137","","","0","00","","","0","","0","0000","","",""
"Roman / Krimi","138","Maurer Joerg","Niedertracht Alpenkrimi","8","12","Groh Katrin","","0","Fischer Taschenbuch","4","2011","","","Kommissar Jennerwein ermittelt zu Leichen in Bergwaenden"
"Roman / Krimi","139","Maurer Joerg","Foehnlage Alpenkrimi","8","12","wir","","0","Fischer Taschenbuch","20","2012","","","Kommissar Jennerwein ermittelt zu einem Toten, der von der Decke im Theater stuerzt"
"Fach-/ Lehrbuch","140","Deschner, Karlheinz","Abermals kraehte der Hahn / Eine kritische Kirchengeschichte","10","12","micha","","0","Random House","6","1996","9-78344-27202-5","5","www.btb-verlag.de"
"Roman","141","Averz, Ellis","Die Teemeisterin","10","16","Silke /entsorgt","","0","Wilhelm Heyne Verlag Munich","0","2009","","","Yukako wird aus der Sicht der Dienerin Ura beschrieben / Spielt in Japan 1866"
"Roman","142","Lunde, Maja","Die Geschichte der Bienen","4","20","","","0","Randowm House btb Verlag","12","2018","3-442-71741-5","978/isbn","3 Erzaelstraenge William 1850, George2007, Tao China 2098 sind miteinande verwoben zur Geschichte der Bienen"
"Roman, histor.","143","Jacobs, Anne","Die Tuchvilla","4","20","Heike RP Tue","","0","blanvalet","1","2015","","","Marie Hofgartner, Aufstieg vom Waisenkind, Kuechenmagd, Zofe zur Fabrikmitbesitzerin. Um 1900."
"Roman / Krimi","144","Maurer, Joerg","Felsenfest / Alpenkrimi","5","20","Bibo Kusti","Krimi Mau 6","0","S. Fischer Frankfurt a.M.","0","2014","","2014-440","Klassentreffen von Hubertus Jennerweins Klasse mit Geiselnahme am Kramergipfel"
"Roman / Krimi","145","Neuhaus, Nele","Tiefe Wunden / Thriller","6","20","Kusti Bibo","Krimi Neu","0","Ulstein Berlin","1","2018","","","Vera Kaltensee, Nazis schluepfen in juedische Identitaeten waehrend der Flucht aus Ostpreussen im Krieg"
"Roman / Krimi","146","Walter Christian Kaerger","Das Fluestern der Fische - Bodensee Krimi","8","18","Heike","","0","emons Verlag","0","2013","","","Thriller vom schwaeb Meer Kommisar Max Madlener ermittelt mit seiner Assistentin Harriet bei der Polizei Friedrichshfn in Morden an Lehrern des JanHusInternats. Dabei decken sie paedophile Machenschaften auf."
"Fach-/ Lehrbuch","147","Giulia Enders","Darm mit Charme","6","19","Heike","","0","ullstein","24","2014","","","wiss. humoristische Erkl. zum Darm, gesunder Ernaehrung und Verdauung."
"Roman, histor.","148","Markus Zusak","Die Buecherdiebin","1","22","Enke","","0","blanvalet","34","2009","","","Liesel Memingers Leben in Molching im 2. Weltkrieg mit Hans und Rosa Hubermann, Max Vandenburg, Rudi Steiner"
"Biografie","149","Wilhelm Buntz","Der Biblraucher","2","22","Enke","","0","SCM Haenssler","9","2018","","","Lebensgeschichte von Helme oder Blutbad Willi mit Bekehrung im Knast und Arbeit im Blindenheim."
"","Literat_Buch-Nr_seq","","","","","","","","","","","","",""
